"player","team","overall_consensus","kevin_pelton","jesse_ficher","jerry_engelmann","nik_oza","nick_kalin","max_savin","model_consensus","john_givony","sam_vecenie","kevin_oconner","john_holllinger","hoop_intelect","jk_mann","scout_consensus","model_count","scout_count"
"Cooper Flagg","Duke",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6
"Dylan Harper","Rutgers",2.16666666666667,4,2,2,2,2,2,2.33333333333333,2,2,2,2,2,2,2,6,6
"V.J. Edgecombe","Baylor",5.33333333333333,3,5,7,5,17,3,6.66666666666667,4,4,5,3,3,5,4,6,6
"Kon Knueppel","Duke",6.83333333333333,2,14,4,10,16,13,9.83333333333333,6,3,3,4,4,3,3.83333333333333,6,6
"Collin Murray-Boyles","South Carolina",7.66666666666667,10,7,3,4,7,4,5.83333333333333,13,8,9,6,9,12,9.5,6,6
"Ace Bailey","Rutgers",9.25,5,15,11,12,20,10,12.1666666666667,3,6,6,12,5,6,6.33333333333333,6,6
"Tre Johnson","Texas",9.5,9,11,23,19,3,14,13.1666666666667,5,5,4,11,6,4,5.83333333333333,6,6
"Jeremiah Fears","Oklahoma",10.25,7,3,16,3,10,15,9,8,18,8,5,10,20,11.5,6,6
"Kasparas Jakucionis","Illinois",11.8333333333333,12,17,15,13,4,12,12.1666666666667,10,7,14,18,13,7,11.5,6,6
"Khaman Maluach","Duke",12.8333333333333,14,19,17,15,15,5,14.1666666666667,7,11,11,19,7,14,11.5,6,6
"Carter Bryant","Arizona",12.8333333333333,11,28,6,14,19,8,14.3333333333333,12,10,16,8,12,10,11.3333333333333,6,6
"Thomas Sorber","Georgeotown",12.9166666666667,22,13,24,6,5,9,13.1666666666667,16,15,10,10,14,11,12.6666666666667,6,6
"Noa Essengue","Ratiopharm Ulm",14,6,8,18,9,38,11,15,9,16,13,7,11,22,13,6,6
"Derik Queen","Maryland",14.0833333333333,32,9,19,18,6,18,17,14,12,12,13,8,8,11.1666666666667,6,6
"Jase Richardson","Michigan State",16.4166666666667,16,22,14,7,23,6,14.6666666666667,18,17,18,14,18,24,18.1666666666667,6,6
"Egor Demin","BYU",18.4166666666667,8,6,22,21,18,34,18.1666666666667,11,26,25,9,25,16,18.6666666666667,6,6
"Asa Newell","Georgia",19.6666666666667,13,10,13,20,11,30,16.1666666666667,19,29,17,16,27,31,23.1666666666667,6,6
"Walter Clayton Jr.","Flordia",20.6666666666667,17,32,8,17,41,7,20.3333333333333,28,19,20,23,17,19,21,6,6
"Rasheer Fleming","Saint Joseph",23.0833333333333,18,20,5,11,24,28,17.6666666666667,27,32,35,24,19,34,28.5,6,6
"Cedric Coward","Washington State",23.0909090909091,15,99,25,8,NA,23,34,21,9,7,22,16,9,14,5,6
"Nique Clifford","Colorado State",23.5,49,24,26,26,13,17,25.8333333333333,20,25,19,31,15,17,21.1666666666667,6,6
"Joan Beringer","Cedevita Olimpija",23.8333333333333,28,21,27,25,33,25,26.5,15,13,28,36,20,15,21.1666666666667,6,6
"Ben Saraf","Ratiopharm Ulm",25.5833333333333,44,4,9,22,12,62,25.5,30,28,22,15,30,29,25.6666666666667,6,6
"Danny Wolf","Michigan",26.0833333333333,52,27,20,33,22,22,29.3333333333333,25,14,33,26,26,13,22.8333333333333,6,6
"Liam McNeeley","UConn",26.75,19,23,30,28,42,43,30.8333333333333,17,20,21,29,28,21,22.6666666666667,6,6
"Adou Thiero","Arkansas",27.3636363636364,38,38,NA,31,14,16,27.4,32,31,27,25,22,27,27.3333333333333,5,6
"Nolan Traore","Saint-Quentin",28.5,24,16,10,23,30,87,31.6666666666667,23,22,24,28,29,26,25.3333333333333,6,6
"Drake Powell","North Carolina",29.2727272727273,34,41,NA,27,8,31,28.2,29,34,29,27,32,30,30.1666666666667,5,6
"Noah Penda","Le Mans",29.8181818181818,37,26,NA,36,66,19,36.8,31,21,32,21,21,18,24,5,6
"Gael Bonilla",NA,30,NA,30,NA,NA,NA,NA,30,NA,NA,NA,NA,NA,NA,NA,1,0
"Will Riley","Illinois",31.25,25,29,29,24,31,80,36.3333333333333,24,23,26,37,24,23,26.1666666666667,6,6
"Ryan Kalkbrenner","Creigton",31.4545454545455,76,35,NA,16,28,20,35,33,27,30,33,23,25,28.5,5,6
"Brent Leuchten",NA,34,NA,34,NA,NA,NA,NA,34,NA,NA,NA,NA,NA,NA,NA,1,0
"Kam Jones","Marquette",35.2727272727273,21,33,NA,29,57,40,36,46,33,43,17,34,35,34.6666666666667,5,6
"Johni Broome","Auburn",37.0909090909091,39,31,NA,32,53,24,35.8,40,40,47,20,41,41,38.1666666666667,5,6
"Tyrese Proctor","Duke",37.25,36,43,12,34,39,57,36.8333333333333,43,36,45,30,39,33,37.6666666666667,6,6
"Maxime Raynaud","Stanford",38.1818181818182,83,44,NA,37,32,55,50.2,26,30,15,39,31,28,28.1666666666667,5,6
"Sananda Fru",NA,39,NA,39,NA,NA,NA,NA,39,NA,NA,NA,NA,NA,NA,NA,1,0
"Hansen Yang","Qingdao",39.6363636363636,NA,12,21,54,78,27,38.4,35,48,38,47,36,40,40.6666666666667,5,6
"Michael Ruzic",NA,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,42,0,1
"Hugo Gonzalez","Real Madrid",42.2727272727273,70,73,NA,35,55,47,56,22,24,31,38,33,37,30.8333333333333,5,6
"Bogoljub Markovic","Mega Superbet",42.4545454545455,66,18,NA,50,79,37,50,39,42,23,46,35,32,36.1666666666667,5,6
"Chaz Lanier","Tennessee",42.5555555555556,45,NA,NA,47,26,39,39.25,38,44,36,65,43,NA,45.2,4,5
"Rocco Zikarsky","Brisbane",43.9,30,25,NA,NA,48,52,38.75,41,50,54,48,48,43,47.3333333333333,4,6
"Javon Small","West Virginia",44,35,40,NA,39,58,26,39.6,48,65,40,51,38,NA,48.4,5,5
"Kellen Tynes",NA,46,NA,46,NA,NA,NA,NA,46,NA,NA,NA,NA,NA,NA,NA,1,0
"Jamir Watkins","Flordia State",46.3333333333333,61,NA,NA,42,36,82,55.25,36,54,34,32,40,NA,39.2,4,5
"Sion James","Duke",47.6363636363636,68,101,NA,30,25,33,51.4,45,39,48,53,44,38,44.5,5,6
"Alex Toohey","Sydney",47.7,57,45,NA,48,86,38,54.8,37,38,51,35,42,NA,40.6,5,5
"Alijah Martin","Florida",49.1111111111111,31,NA,NA,46,70,41,47,58,37,37,69,53,NA,50.8,4,5
"Caleb Grill","Missouri",49.75,43,NA,NA,NA,29,60,44,67,NA,NA,NA,NA,NA,67,3,1
"Hunter Dickinson",NA,50,NA,50,NA,NA,NA,NA,50,NA,NA,NA,NA,NA,NA,NA,1,0
"John Tonje","Wisconsin",50.1,48,74,NA,NA,52,42,54,42,35,42,73,49,44,47.5,4,6
"Ian Schieffelin",NA,51,NA,51,NA,NA,NA,NA,51,NA,NA,NA,NA,NA,NA,NA,1,0
"Jeff Woodward",NA,52,NA,52,NA,NA,NA,NA,52,NA,NA,NA,NA,NA,NA,NA,1,0
"Ishmael Leggett",NA,53,NA,53,NA,NA,NA,NA,53,NA,NA,NA,NA,NA,NA,NA,1,0
"Ryan Nembard","Gonzaga",53.8,80,65,NA,57,37,32,54.2,59,57,49,45,57,NA,53.4,5,5
"Tytan Anderson",NA,54,NA,54,NA,NA,NA,NA,54,NA,NA,NA,NA,NA,NA,NA,1,0
"Max Shulga","VCU",54.8,41,42,NA,43,75,51,50.4,76,47,59,63,51,NA,59.2,5,5
"Hunter Sallis","Wake Forest",55,79,64,NA,45,27,91,61.2,55,52,39,42,56,NA,48.8,5,5
"Xu Xin",NA,55,NA,55,NA,NA,NA,NA,55,NA,NA,NA,NA,NA,NA,NA,1,0
"Aaron Scott",NA,55,55,NA,NA,NA,NA,NA,55,NA,NA,NA,NA,NA,NA,NA,1,0
"Yanic Konan Niederhauser","Penn State",55.2,125,138,NA,55,9,29,71.2,34,41,44,40,37,NA,39.2,5,5
"Chucky Hepburn","Louisville",56.4,45,49,NA,59,77,54,56.8,60,56,58,43,63,NA,56,5,5
"Amari Williams","Kentucky",57.2,103,70,NA,41,49,21,56.8,57,75,53,57,46,NA,57.6,5,5
"Aniwaniwa Tait-Jones",NA,58,NA,58,NA,NA,NA,NA,58,NA,NA,NA,NA,NA,NA,NA,1,0
"Will Richard","Flordia",58.1111111111111,27,93,NA,40,40,46,49.2,71,78,NA,62,66,NA,69.25,5,4
"Micah Peavy","Georgetown",58.2,112,69,NA,51,44,70,69.2,54,46,50,41,45,NA,47.2,5,5
"Koby Brea","Kentucky",59.1818181818182,20,185,NA,44,54,69,74.4,47,49,41,59,47,36,46.5,5,6
"Mark Sears","Alabama",59.3333333333333,42,NA,NA,49,43,81,53.75,61,60,68,60,70,NA,63.8,4,5
"Carson Towt",NA,60,NA,60,NA,NA,NA,NA,60,NA,NA,NA,NA,NA,NA,NA,1,0
"RJ Luis Jr.","St. John's",60.7272727272727,104,66,NA,56,64,61,70.2,56,58,67,44,50,42,52.8333333333333,5,6
"Earl Timberlake",NA,61,NA,NA,NA,NA,61,NA,61,NA,NA,NA,NA,NA,NA,NA,1,0
"Vladislav Goldin","Michigan",61.6,130,86,28,NA,47,50,68.2,49,51,55,68,52,NA,55,5,5
"Brooks Barnhizer","Northwestern",62,64,124,NA,38,NA,53,69.75,77,45,NA,34,61,NA,54.25,4,4
"Josh Uduje",NA,62,NA,NA,NA,NA,62,NA,62,NA,NA,NA,NA,NA,NA,NA,1,0
"Kobe Sanders","Nevada",63,111,84,NA,NA,60,36,72.75,52,53,61,56,54,NA,55.2,4,5
"Jacksen Moni","North Dakota State",63.2857142857143,60,37,NA,NA,45,48,47.5,82,86,NA,NA,85,NA,84.3333333333333,4,3
"Miles Kelly","Auburn",65.5,54,NA,NA,NA,84,44,60.6666666666667,80,NA,NA,NA,NA,NA,80,3,1
"Zakai Zeigler","Tennessee",65.6666666666667,29,80,NA,NA,NA,NA,54.5,88,NA,NA,NA,NA,NA,88,2,1
"Igor Milicic Jr.","Tennessee",66.2857142857143,51,NA,NA,NA,69,71,63.6666666666667,70,69,NA,67,67,NA,68.25,3,4
"Eric Dixon","Villanova",66.6666666666667,107,57,NA,NA,65,78,76.75,44,67,46,72,64,NA,58.6,4,5
"Jaxson Robinson","Kentucky",67,50,NA,NA,NA,NA,NA,50,65,74,64,NA,82,NA,71.25,1,4
"Jahmai Mashack","Tennessee",67.5,87,NA,NA,NA,21,68,58.6666666666667,98,59,NA,NA,72,NA,76.3333333333333,3,3
"Grant Nelson","Alabama",68,94,NA,NA,NA,34,67,65,62,73,NA,NA,78,NA,71,3,3
"Brandon Stroud",NA,68,NA,NA,NA,NA,68,NA,68,NA,NA,NA,NA,NA,NA,NA,1,0
"Tyson Degenhart",NA,68,NA,68,NA,NA,NA,NA,68,NA,NA,NA,NA,NA,NA,NA,1,0
"Payton Sandfort","Iowa",68.4444444444444,23,104,NA,52,71,76,65.2,84,66,65,NA,75,NA,72.5,5,4
"Wade Taylor IV",NA,69.3333333333333,26,116,NA,NA,NA,66,69.3333333333333,NA,NA,NA,NA,NA,NA,NA,3,0
"Lachlan Olbrich","Illawarra",69.4444444444444,78,85,NA,NA,100,88,87.75,50,55,60,49,60,NA,54.8,4,5
"Brice Williams","Nebraska",69.6,71,191,NA,58,50,45,83,68,43,57,55,58,NA,56.2,5,5
"LJ Cryer","Houston",70.5,47,NA,NA,NA,NA,NA,47,94,NA,NA,NA,NA,NA,94,1,1
"Isaac Nogues",NA,71,NA,71,NA,NA,NA,58,64.5,NA,NA,NA,NA,84,NA,84,2,1
"Izan Almansa","Perth",71.2,92,56,NA,NA,99,85,83,64,70,63,75,69,39,63.3333333333333,4,6
"Dink Pate","Mexico City",72.8,126,36,NA,NA,101,95,89.5,53,71,69,70,62,45,61.6666666666667,4,6
"Saint Thomas",NA,73,NA,NA,NA,NA,46,NA,46,NA,NA,NA,NA,100,NA,100,1,1
"Jaemyn Brakefield",NA,73,NA,NA,NA,NA,73,NA,73,NA,NA,NA,NA,NA,NA,NA,1,0
"Trevon Brazile",NA,73,73,NA,NA,NA,NA,NA,73,NA,NA,NA,NA,NA,NA,NA,1,0
"Issac Nogue","Rip City",74,NA,NA,NA,NA,NA,NA,NA,74,NA,NA,NA,NA,NA,74,0,1
"John Poulakidas","Yale",74,40,NA,NA,NA,NA,83,61.5,83,81,NA,NA,83,NA,82.3333333333333,2,3
"Kobe Johnson","UCLA",74.125,33,164,NA,NA,35,65,74.25,78,76,NA,66,76,NA,74,4,4
"Sean Pedulla","Mississippi",74.5714285714286,59,100,NA,60,95,35,69.8,75,NA,NA,NA,98,NA,86.5,5,2
"Jyare Davis",NA,75,NA,NA,NA,NA,56,94,75,NA,NA,NA,NA,NA,NA,NA,2,0
"Viktor Lakhin","Clemson",75.125,115,95,NA,NA,93,NA,101,51,62,56,64,65,NA,59.6,3,5
"Keshon Gilbert",NA,75.6,NA,47,NA,NA,82,84,71,NA,84,NA,NA,81,NA,82.5,3,2
"Tamar Bates","Missouri",75.9,85,158,NA,53,76,77,89.8,63,72,62,54,59,NA,62,5,5
"Cameron Matthews",NA,76.75,NA,90,NA,NA,NA,NA,90,NA,83,NA,61,73,NA,72.3333333333333,1,3
"Nijel Pack",NA,77,77,NA,NA,NA,NA,NA,77,NA,NA,NA,NA,NA,NA,NA,1,0
"Jalon Moore",NA,77.3333333333333,91,NA,NA,NA,67,89,82.3333333333333,NA,68,70,NA,79,NA,72.3333333333333,3,3
"Julian Reese",NA,78,NA,59,NA,NA,97,NA,78,NA,NA,NA,NA,NA,NA,NA,2,0
"Kadary Richmond","St. John's",78.7142857142857,89,63,NA,NA,81,59,73,86,82,NA,NA,91,NA,86.3333333333333,4,3
"Stevie Mitchell",NA,79,NA,79,NA,NA,NA,NA,79,NA,NA,NA,NA,NA,NA,NA,1,0
"Curtis Jones","Iowa State",80.125,48,145,NA,NA,72,73,84.5,73,90,66,NA,74,NA,75.75,4,4
"Gabe Madsen","Utah",80.5,72,NA,NA,NA,NA,NA,72,89,NA,NA,NA,NA,NA,89,1,1
"Great Osobor",NA,81,81,NA,NA,NA,NA,NA,81,NA,NA,NA,NA,NA,NA,NA,1,0
"Nate Santos",NA,81.3333333333333,NA,NA,NA,NA,63,92,77.5,NA,89,NA,NA,NA,NA,89,2,1
"RJ Felton",NA,83,NA,NA,NA,NA,83,NA,83,NA,NA,NA,NA,NA,NA,NA,1,0
"Saliou Niang","Trento",83.2,113,48,NA,NA,NA,NA,80.5,72,88,NA,NA,95,NA,85,2,3
"Dylan Cardwell","Auburn",83.375,114,163,NA,NA,90,49,104,85,61,NA,50,55,NA,62.75,4,4
"Matthew Murrell","Mississippi",83.5,74,NA,NA,NA,NA,NA,74,93,NA,NA,NA,NA,NA,93,1,1
"Arthur Kaluma","Texas",83.7142857142857,116,98,NA,NA,59,72,86.25,97,NA,NA,52,92,NA,80.3333333333333,4,3
"Chris Manon",NA,84.3333333333333,NA,134,NA,NA,51,NA,92.5,NA,NA,NA,NA,68,NA,68,2,1
"Jonathan Pierre",NA,84.3333333333333,NA,NA,NA,NA,NA,79,79,NA,87,NA,NA,87,NA,87,1,2
"Caleb Love","Arizona",85.75,88,154,NA,NA,74,74,97.5,69,63,NA,71,93,NA,74,4,4
"Chris Youngblood",NA,86,NA,NA,NA,NA,NA,86,86,NA,NA,NA,NA,NA,NA,NA,1,0
"Chance McMillan","Texas Tech",86.6,90,NA,NA,NA,94,56,80,96,NA,NA,NA,97,NA,96.5,3,2
"RJ Davis","North Carolina",87.3333333333333,NA,NA,NA,NA,85,90,87.5,87,NA,NA,NA,NA,NA,87,2,1
"Clifford Omoruyi","Alabama",87.5,133,NA,NA,NA,NA,NA,133,66,NA,52,NA,99,NA,72.3333333333333,1,3
"Adama-Alpha Bal",NA,88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88,NA,88,0,1
"Graham Ike",NA,89,NA,89,NA,NA,NA,NA,89,NA,NA,NA,NA,NA,NA,NA,1,0
"Wooga Poplar",NA,89.3333333333333,56,141,NA,NA,NA,NA,98.5,NA,NA,NA,NA,71,NA,71,2,1
"Zach Austin",NA,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,NA,90,0,1
"Andrew Carr","Kentucky",90.2,110,91,NA,NA,80,75,89,95,NA,NA,NA,NA,NA,95,4,1
"Mohamed Diawara","Cholet",91,98,108,NA,NA,NA,NA,103,81,79,NA,NA,89,NA,83,2,3
"Samson Johnson",NA,92,NA,NA,NA,NA,92,NA,92,NA,NA,NA,NA,NA,NA,NA,1,0
"Nolan Hickman",NA,92.5,53,132,NA,NA,NA,NA,92.5,NA,NA,NA,NA,NA,NA,NA,2,0
"Eli John Ndiaye","Real Madrid",93.25,108,NA,NA,NA,NA,NA,108,92,77,NA,NA,96,NA,88.3333333333333,1,3
"Ben Gregg",NA,94,NA,94,NA,NA,NA,NA,94,NA,NA,NA,NA,NA,NA,NA,1,0
"Coleman Hawkins",NA,95.5,NA,117,NA,NA,NA,NA,117,NA,NA,NA,74,NA,NA,74,1,1
"Jabri Abdur-Rahim",NA,95.5,NA,NA,NA,NA,98,93,95.5,NA,NA,NA,NA,NA,NA,NA,2,0
"Jonas Aidoo",NA,96,NA,NA,NA,NA,96,NA,96,NA,NA,NA,NA,NA,NA,NA,1,0
"Norchad Omier","Baylor",96.3333333333333,99,149,NA,NA,91,63,100.5,91,85,NA,NA,NA,NA,88,4,2
"Lamont Butler","Kentucky",97.8571428571429,95,181,NA,NA,87,NA,121,90,80,NA,58,94,NA,80.5,3,4
"Chase Hunter",NA,98,NA,196,NA,NA,89,64,116.333333333333,NA,64,NA,NA,77,NA,70.5,3,2
"Dawson Garcia","Minnesota",99,136,82,NA,NA,NA,NA,109,79,NA,NA,NA,NA,NA,79,2,1
"Steve Settle III","Temple",100,121,NA,NA,NA,NA,NA,121,99,NA,NA,NA,80,NA,89.5,1,2
"Jahmyl Telfort","Butler",100,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,100,0,1
"Zeke Mayo",NA,108,NA,130,NA,NA,NA,NA,130,NA,NA,NA,NA,86,NA,86,1,1
"Johnell Davis",NA,110.75,82,177,NA,NA,88,96,110.75,NA,NA,NA,NA,NA,NA,NA,4,0
"Taelon Peter",NA,113,NA,113,NA,NA,NA,NA,113,NA,NA,NA,NA,NA,NA,NA,1,0
"Tyrese Hunter",NA,118,75,161,NA,NA,NA,NA,118,NA,NA,NA,NA,NA,NA,NA,2,0
"Jamiya Neal",NA,120,NA,120,NA,NA,NA,NA,120,NA,NA,NA,NA,NA,NA,NA,1,0
"Matthew Cleveland",NA,157,NA,157,NA,NA,NA,NA,157,NA,NA,NA,NA,NA,NA,NA,1,0
"Daniel Batcho",NA,167,NA,167,NA,NA,NA,NA,167,NA,NA,NA,NA,NA,NA,NA,1,0
"David Joplin",NA,176,NA,176,NA,NA,NA,NA,176,NA,NA,NA,NA,NA,NA,NA,1,0
"Steven Crowl",NA,186,NA,186,NA,NA,NA,NA,186,NA,NA,NA,NA,NA,NA,NA,1,0
"Zach Hicks",NA,192,NA,192,NA,NA,NA,NA,192,NA,NA,NA,NA,NA,NA,NA,1,0
"JT Toppin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"Darius Johnson",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"Geronimo Rubio De La Rosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"Kadin Shedrick",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"Khalif Battle",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"Ousmane Ndiaye",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"Jaden Akins",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"Malique Lewis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"Ourmar Ballo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"Mylik Wilson",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"Fabio Milanese",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
