player,pick,source
Aamir Simms,74,CBS
Aamir Simms,91,ESPN
Aamir Simms,41,John Hollinger
Aamir Simms,77,nbadraft.net
Aamir Simms,62,Sam Vecenie
Aamir Sims,66,Chad Ford
Aamir Sims,74,USA Today
Aaron Henry,58,USA Today
Aaron Henry,27,Bleacher Report
Aaron Henry,35,CBS
Aaron Henry,48,Chad Ford
Aaron Henry,50,ESPN
Aaron Henry,25,John Hollinger
Aaron Henry,63,nbadraft.net
Aaron Henry,50,Kevin O'Connor
Aaron Henry,41,Sports Illustrated
Aaron Henry,30,Sporting News
Aaron Henry,62,Tankathon
Aaron Henry,57,Sam Vecenie
Aaron Wiggins,54,Bleacher Report
Aaron Wiggins,56,CBS
Aaron Wiggins,68,Chad Ford
Aaron Wiggins,48,ESPN
Aaron Wiggins,65,John Hollinger
Aaron Wiggins,40,nbadraft.net
Aaron Wiggins,62,Kevin O'Connor
Aaron Wiggins,73,Sports Illustrated
Aaron Wiggins,52,Tankathon
Aaron Wiggins,82,USA Today
Aaron Wiggins,66,Sam Vecenie
AJ Lawson,55,Sports Illustrated
AJ Lawson,71,CBS
AJ Lawson,69,Chad Ford
AJ Lawson,72,ESPN
AJ Lawson,51,John Hollinger
AJ Lawson,72,Tankathon
AJ Lawson,83,USA Today
AJ Lawson,82,Sam Vecenie
Alan Griffin,88,USA Today
Alperen Sengun,14,Bleacher Report
Alperen Sengun,16,CBS
Alperen Sengun,10,Chad Ford
Alperen Sengun,7,Dean On Draft
Alperen Sengun,15,ESPN
Alperen Sengun,4,John Hollinger
Alperen Sengun,20,nbadraft.net
Alperen Sengun,9,Kevin O'Connor
Alperen Sengun,13,SB Nation
Alperen Sengun,11,Sports Illustrated
Alperen Sengun,10,Sporting News
Alperen Sengun,5,Tankathon
Alperen Sengun,22,USA Today
Alperen Sengun,8,Sam Vecenie
Amar Sylla,91,CBS
Amar Sylla,54,Chad Ford
Amar Sylla,76,ESPN
Amar Sylla,68,Tankathon
Amar Sylla,99,USA Today
Amar Sylla,101,Sam Vecenie
Ariel Hukporti,59,John Hollinger
Ariel Hukporti,52,Sports Illustrated
Ariel Hukporti,36,Sporting News
Arnas Velicka,97,Sam Vecenie
Austin Reaves,52,Bleacher Report
Austin Reaves,42,CBS
Austin Reaves,65,Chad Ford
Austin Reaves,42,ESPN
Austin Reaves,78,nbadraft.net
Austin Reaves,39,Kevin O'Connor
Austin Reaves,47,Sports Illustrated
Austin Reaves,54,Tankathon
Austin Reaves,37,USA Today
Austin Reaves,32,Sam Vecenie
Ayo Dosunmu,35,Bleacher Report
Ayo Dosunmu,20,CBS
Ayo Dosunmu,32,Chad Ford
Ayo Dosunmu,34,ESPN
Ayo Dosunmu,39,John Hollinger
Ayo Dosunmu,24,nbadraft.net
Ayo Dosunmu,31,Kevin O'Connor
Ayo Dosunmu,35,Sports Illustrated
Ayo Dosunmu,24,Sporting News
Ayo Dosunmu,35,Tankathon
Ayo Dosunmu,39,USA Today
Ayo Dosunmu,23,Sam Vecenie
Balsa Koprivica,85,nbadraft.net
Balsa Koprivica,81,USA Today
BJ Boston,42,Bleacher Report
BJ Boston,34,CBS
BJ Boston,33,Chad Ford
BJ Boston,13,Dean On Draft
BJ Boston,39,ESPN
BJ Boston,45,John Hollinger
BJ Boston,33,nbadraft.net
BJ Boston,46,Kevin O'Connor
BJ Boston,42,Sports Illustrated
BJ Boston,37,Sporting News
BJ Boston,41,Tankathon
BJ Boston,32,USA Today
BJ Boston,41,Sam Vecenie
Bryce Wills,66,nbadraft.net
Cade Cunningham,1,Bleacher Report
Cade Cunningham,1,CBS
Cade Cunningham,1,Chad Ford
Cade Cunningham,4,Dean On Draft
Cade Cunningham,1,ESPN
Cade Cunningham,1,John Hollinger
Cade Cunningham,1,nbadraft.net
Cade Cunningham,1,Kevin O'Connor
Cade Cunningham,1,SB Nation
Cade Cunningham,1,Sports Illustrated
Cade Cunningham,1,Sporting News
Cade Cunningham,3,Tankathon
Cade Cunningham,1,USA Today
Cade Cunningham,1,Sam Vecenie
Cameron Krutwig,100,ESPN
Cameron Thomas,9,Bleacher Report
Cameron Thomas,18,CBS
Cameron Thomas,23,Chad Ford
Cameron Thomas,26,ESPN
Cameron Thomas,33,John Hollinger
Cameron Thomas,23,nbadraft.net
Cameron Thomas,10,Kevin O'Connor
Cameron Thomas,28,Sports Illustrated
Cameron Thomas,27,Sporting News
Cameron Thomas,31,Tankathon
Cameron Thomas,29,USA Today
Cameron Thomas,27,Sam Vecenie
Carlik Jones,86,CBS
Carlik Jones,62,ESPN
Carlik Jones,76,nbadraft.net
Carlik Jones,62,Sports Illustrated
Carlik Jones,89,USA Today
Carlik Jones,75,Sam Vecenie
Charles Bassey,34,Bleacher Report
Charles Bassey,39,CBS
Charles Bassey,49,Chad Ford
Charles Bassey,35,ESPN
Charles Bassey,29,nbadraft.net
Charles Bassey,40,Kevin O'Connor
Charles Bassey,45,Sports Illustrated
Charles Bassey,33,Sporting News
Charles Bassey,58,Tankathon
Charles Bassey,51,USA Today
Charles Bassey,60,Sam Vecenie
Chaundee Brown,78,Chad Ford
Chaundee Brown,60,ESPN
Chaundee Brown,93,nbadraft.net
Chaundee Brown,65,Sports Illustrated
Chaundee Brown,91,USA Today
Chaundee Brown,92,Sam Vecenie
Chaundee Brown,77,CBS
Chris Duarte,20,Bleacher Report
Chris Duarte,12,CBS
Chris Duarte,15,Chad Ford
Chris Duarte,23,ESPN
Chris Duarte,19,John Hollinger
Chris Duarte,22,nbadraft.net
Chris Duarte,18,Kevin O'Connor
Chris Duarte,26,SB Nation
Chris Duarte,19,Sports Illustrated
Chris Duarte,16,Sporting News
Chris Duarte,19,Tankathon
Chris Duarte,20,USA Today
Chris Duarte,13,Sam Vecenie
Chris Smith,70,CBS
Chris Smith,51,Chad Ford
Chris Smith,98,ESPN
Chris Smith,56,John Hollinger
Chris Smith,58,nbadraft.net
Chris Smith,66,USA Today
Chris Smith,71,Sam Vecenie
Corey Kispert,19,Bleacher Report
Corey Kispert,14,CBS
Corey Kispert,16,Chad Ford
Corey Kispert,13,ESPN
Corey Kispert,12,John Hollinger
Corey Kispert,15,nbadraft.net
Corey Kispert,16,Kevin O'Connor
Corey Kispert,19,SB Nation
Corey Kispert,13,Sports Illustrated
Corey Kispert,14,Sporting News
Corey Kispert,10,Tankathon
Corey Kispert,18,USA Today
Corey Kispert,18,Sam Vecenie
Daishen Nix,51,CBS
Daishen Nix,55,Chad Ford
Daishen Nix,40,ESPN
Daishen Nix,67,John Hollinger
Daishen Nix,50,nbadraft.net
Daishen Nix,61,Kevin O'Connor
Daishen Nix,59,Sports Illustrated
Daishen Nix,60,Sporting News
Daishen Nix,28,Tankathon
Daishen Nix,34,USA Today
Daishen Nix,80,Sam Vecenie
Dalano Banton,61,USA Today
Dalano Banton,82,CBS
Dalano Banton,72,Chad Ford
Dalano Banton,65,ESPN
Dalano Banton,69,John Hollinger
Dalano Banton,89,nbadraft.net
Dalano Banton,65,Kevin O'Connor
Dalano Banton,56,Sports Illustrated
Dalano Banton,73,Sam Vecenie
David Duke,45,CBS
David Duke,60,Chad Ford
David Duke,84,ESPN
David Duke,62,John Hollinger
David Duke,49,nbadraft.net
David Duke,75,Sports Illustrated
David Duke,42,Sporting News
David Duke,70,Tankathon
David Duke,64,Sam Vecenie
David Duke,85,USA Today
David Johnson,40,Bleacher Report
David Johnson,54,CBS
David Johnson,44,Chad Ford
David Johnson,38,ESPN
David Johnson,53,John Hollinger
David Johnson,53,nbadraft.net
David Johnson,38,Kevin O'Connor
David Johnson,38,Sports Illustrated
David Johnson,53,Sporting News
David Johnson,64,Tankathon
David Johnson,47,USA Today
David Johnson,39,Sam Vecenie
Davion Mitchell,21,Bleacher Report
Davion Mitchell,8,CBS
Davion Mitchell,8,Chad Ford
Davion Mitchell,7,ESPN
Davion Mitchell,16,John Hollinger
Davion Mitchell,11,nbadraft.net
Davion Mitchell,8,Kevin O'Connor
Davion Mitchell,21,SB Nation
Davion Mitchell,16,Sports Illustrated
Davion Mitchell,5,Sporting News
Davion Mitchell,17,Tankathon
Davion Mitchell,19,USA Today
Davion Mitchell,10,Sam Vecenie
Day'Ron Sharpe,28,Bleacher Report
Day'Ron Sharpe,38,CBS
Day'Ron Sharpe,22,Chad Ford
Day'Ron Sharpe,31,ESPN
Day'Ron Sharpe,49,John Hollinger
Day'Ron Sharpe,54,nbadraft.net
Day'Ron Sharpe,26,Kevin O'Connor
Day'Ron Sharpe,24,Sports Illustrated
Day'Ron Sharpe,40,Sporting News
Day'Ron Sharpe,27,Tankathon
Day'Ron Sharpe,35,USA Today
Day'Ron Sharpe,40,Sam Vecenie
DeJon Jarreau,86,nbadraft.net
DeJon Jarreau,89,ESPN
DeJon Jarreau,96,CBS
DeJon Jarreau,95,USA Today
DeJon Jarreau,96,Sam Vecenie
Denzel Mahoney,100,nbadraft.net
Derek Culver,88,nbadraft.net
Derrick Alston,94,ESPN
Derrick Alston,72,nbadraft.net
Derrick Alston,57,Sporting News
Derrick Alston,85,Sam Vecenie
Derrick Alston,80,CBS
Derrick Alston,98,USA Today
DJ Carton,53,CBS
DJ Carton,99,nbadraft.net
DJ Steward,68,CBS
DJ Steward,79,Chad Ford
DJ Steward,66,ESPN
DJ Steward,71,nbadraft.net
DJ Steward,66,Tankathon
DJ Steward,79,Sam Vecenie
DJ Steward,59,USA Today
DJ Stewart,86,USA Today
DJ Stewart,87,Sam Vecenie
DJ Stewart,88,ESPN
Dru Smith,93,ESPN
Dru Smith,99,Sam Vecenie
Duane Washington,76,Chad Ford
Duane Washington,71,ESPN
Duane Washington,66,John Hollinger
Duane Washington,56,nbadraft.net
Duane Washington,66,Sports Illustrated
Duane Washington,89,CBS
Duane Washington,96,USA Today
Duane Washington,93,Sam Vecenie
EJ Onu,75,CBS
EJ Onu,81,ESPN
EJ Onu,52,nbadraft.net
EJ Onu,70,Kevin O'Connor
EJ Onu,78,Sports Illustrated
Ej Onu,74,Sam Vecenie
Ej Onu,55,USA Today
Ethan Thompson,83,CBS
Ethan Thompson,95,nbadraft.net
Ethan Thompson,100,Sam Vecenie
Eugene Omoruyi,93,CBS
Eugene Omoruyi,99,ESPN
Eugene Omoruyi,79,Sports Illustrated
Eugene Omoruyi,90,USA Today
Eugene Omoruyi,81,Sam Vecenie
Evan Mobley,3,Bleacher Report
Evan Mobley,3,CBS
Evan Mobley,2,Chad Ford
Evan Mobley,1,Dean On Draft
Evan Mobley,3,ESPN
Evan Mobley,2,John Hollinger
Evan Mobley,4,nbadraft.net
Evan Mobley,2,Kevin O'Connor
Evan Mobley,2,SB Nation
Evan Mobley,2,Sports Illustrated
Evan Mobley,2,Sporting News
Evan Mobley,2,Tankathon
Evan Mobley,2,USA Today
Evan Mobley,3,Sam Vecenie
Feron Hunt,90,nbadraft.net
Filip Petrusev,46,Bleacher Report
Filip Petrusev,60,CBS
Filip Petrusev,50,Chad Ford
Filip Petrusev,37,ESPN
Filip Petrusev,55,nbadraft.net
Filip Petrusev,52,Kevin O'Connor
Filip Petrusev,53,Sports Illustrated
Filip Petrusev,41,Sporting News
Filip Petrusev,24,Tankathon
Filip Petrusev,53,USA Today
Filip Petrusev,59,Sam Vecenie
Filip Petrusev,47,John Hollinger
Franz Wagner,6,Bleacher Report
Franz Wagner,11,CBS
Franz Wagner,9,Chad Ford
Franz Wagner,5,Dean On Draft
Franz Wagner,10,ESPN
Franz Wagner,7,John Hollinger
Franz Wagner,13,nbadraft.net
Franz Wagner,12,Kevin O'Connor
Franz Wagner,5,SB Nation
Franz Wagner,10,Sports Illustrated
Franz Wagner,17,Sporting News
Franz Wagner,11,Tankathon
Franz Wagner,11,USA Today
Franz Wagner,14,Sam Vecenie
Greg Brown,51,Bleacher Report
Greg Brown,40,CBS
Greg Brown,35,Chad Ford
Greg Brown,51,ESPN
Greg Brown,43,John Hollinger
Greg Brown,38,nbadraft.net
Greg Brown,54,Kevin O'Connor
Greg Brown,58,Sports Illustrated
Greg Brown,28,Sporting News
Greg Brown,33,Tankathon
Greg Brown,56,USA Today
Greg Brown,44,Sam Vecenie
Herbert Jones,41,Bleacher Report
Herbert Jones,43,CBS
Herbert Jones,41,Chad Ford
Herbert Jones,45,ESPN
Herbert Jones,23,John Hollinger
Herbert Jones,41,nbadraft.net
Herbert Jones,33,Kevin O'Connor
Herbert Jones,46,Sports Illustrated
Herbert Jones,50,Sporting News
Herbert Jones,44,Tankathon
Herbert Jones,36,USA Today
Herbert Jones,28,Sam Vecenie
Ibou Dianko Badji,90,CBS
Ibou Dianko Badji,76,Sports Illustrated
Isaiah Jackson,24,Bleacher Report
Isaiah Jackson,22,CBS
Isaiah Jackson,25,Chad Ford
Isaiah Jackson,11,Dean On Draft
Isaiah Jackson,19,ESPN
Isaiah Jackson,28,John Hollinger
Isaiah Jackson,32,nbadraft.net
Isaiah Jackson,29,Kevin O'Connor
Isaiah Jackson,30,SB Nation
Isaiah Jackson,27,Sports Illustrated
Isaiah Jackson,22,Sporting News
Isaiah Jackson,20,Tankathon
Isaiah Jackson,31,USA Today
Isaiah Jackson,26,Sam Vecenie
Isaiah Livers,47,Bleacher Report
Isaiah Livers,64,CBS
Isaiah Livers,56,Chad Ford
Isaiah Livers,49,ESPN
Isaiah Livers,46,nbadraft.net
Isaiah Livers,56,Kevin O'Connor
Isaiah Livers,54,Sports Illustrated
Isaiah Livers,49,Sporting News
Isaiah Livers,46,Tankathon
Isaiah Livers,53,Sam Vecenie
Isaiah Livers,63,USA Today
Isaiah Miller,100,CBS
Isaiah Miller,80,ESPN
Isaiah Miller,100,USA Today
Isaiah Todd,36,Bleacher Report
Isaiah Todd,46,CBS
Isaiah Todd,28,Chad Ford
Isaiah Todd,46,ESPN
Isaiah Todd,44,John Hollinger
Isaiah Todd,27,nbadraft.net
Isaiah Todd,24,Kevin O'Connor
Isaiah Todd,40,Sports Illustrated
Isaiah Todd,44,Sporting News
Isaiah Todd,67,Tankathon
Isaiah Todd,57,USA Today
Isaiah Todd,54,Sam Vecenie
Jaden Springer,12,Bleacher Report
Jaden Springer,23,CBS
Jaden Springer,27,Chad Ford
Jaden Springer,10,Dean On Draft
Jaden Springer,27,ESPN
Jaden Springer,20,John Hollinger
Jaden Springer,31,nbadraft.net
Jaden Springer,22,Kevin O'Connor
Jaden Springer,11,SB Nation
Jaden Springer,26,Sports Illustrated
Jaden Springer,20,Sporting News
Jaden Springer,13,Tankathon
Jaden Springer,9,USA Today
Jaden Springer,20,Sam Vecenie
Jalen Green,2,Bleacher Report
Jalen Green,2,CBS
Jalen Green,3,Chad Ford
Jalen Green,8,Dean On Draft
Jalen Green,2,ESPN
Jalen Green,5,John Hollinger
Jalen Green,2,nbadraft.net
Jalen Green,3,Kevin O'Connor
Jalen Green,3,SB Nation
Jalen Green,3,Sports Illustrated
Jalen Green,3,Sporting News
Jalen Green,4,Tankathon
Jalen Green,3,USA Today
Jalen Green,4,Sam Vecenie
Jalen Johnson,7,Bleacher Report
Jalen Johnson,24,CBS
Jalen Johnson,18,Chad Ford
Jalen Johnson,9,Dean On Draft
Jalen Johnson,12,ESPN
Jalen Johnson,9,John Hollinger
Jalen Johnson,17,nbadraft.net
Jalen Johnson,25,Kevin O'Connor
Jalen Johnson,8,SB Nation
Jalen Johnson,12,Sports Illustrated
Jalen Johnson,35,Sporting News
Jalen Johnson,7,Tankathon
Jalen Johnson,27,USA Today
Jalen Johnson,25,Sam Vecenie
Jalen Suggs,4,Bleacher Report
Jalen Suggs,4,CBS
Jalen Suggs,4,Chad Ford
Jalen Suggs,3,Dean On Draft
Jalen Suggs,4,ESPN
Jalen Suggs,6,John Hollinger
Jalen Suggs,3,nbadraft.net
Jalen Suggs,4,Kevin O'Connor
Jalen Suggs,4,SB Nation
Jalen Suggs,4,Sports Illustrated
Jalen Suggs,4,Sporting News
Jalen Suggs,1,Tankathon
Jalen Suggs,4,USA Today
Jalen Suggs,2,Sam Vecenie
James Bouknight,17,Bleacher Report
James Bouknight,6,CBS
James Bouknight,7,Chad Ford
James Bouknight,8,ESPN
James Bouknight,13,John Hollinger
James Bouknight,7,nbadraft.net
James Bouknight,6,Kevin O'Connor
James Bouknight,16,SB Nation
James Bouknight,7,Sports Illustrated
James Bouknight,9,Sporting News
James Bouknight,16,Tankathon
James Bouknight,12,USA Today
James Bouknight,9,Sam Vecenie
Jamorko Pickett,94,nbadraft.net
JaQuori McLaughlin,87,nbadraft.net
JaQuori McLaughlin,82,ESPN
JaQuori McLaughlin,98,CBS
JaQuori McLaughlin,98,Sam Vecenie
JaQuori McLaughlin,71,USA Today
Jared Butler,13,Bleacher Report
Jared Butler,19,CBS
Jared Butler,21,Chad Ford
Jared Butler,16,Dean On Draft
Jared Butler,21,ESPN
Jared Butler,11,John Hollinger
Jared Butler,28,nbadraft.net
Jared Butler,23,Kevin O'Connor
Jared Butler,20,SB Nation
Jared Butler,18,Sports Illustrated
Jared Butler,19,Sporting News
Jared Butler,15,Tankathon
Jared Butler,17,USA Today
Jared Butler,17,Sam Vecenie
Jason Preston,53,Bleacher Report
Jason Preston,44,CBS
Jason Preston,43,Chad Ford
Jason Preston,41,ESPN
Jason Preston,24,John Hollinger
Jason Preston,36,nbadraft.net
Jason Preston,36,Kevin O'Connor
Jason Preston,29,Sports Illustrated
Jason Preston,30,Tankathon
Jason Preston,38,USA Today
Jason Preston,48,Sam Vecenie
Javonte Smart,92,CBS
Javonte Smart,96,ESPN
Javonte Smart,98,nbadraft.net
Javonte Smart,94,Sam Vecenie
Jay Huff,88,CBS
Jay Huff,77,Sports Illustrated
Jay Huff,34,Tankathon
Jay Huff,79,USA Today
Jay Huff,77,Sam Vecenie
Jeremiah Robinson-Earl,58,ESPN
Jeremiah Robinson-Earl,33,Bleacher Report
Jeremiah Robinson-Earl,41,CBS
Jeremiah Robinson-Earl,45,Chad Ford
Jeremiah Robinson-Earl,64,John Hollinger
Jeremiah Robinson-Earl,42,nbadraft.net
