"Player","X.","Pos","Height","Weight","Birthdate","Age","Exp","School","How.Acquired","tm"
"Adem Bona",30,"F-C","6-10","247 lbs","MAR 28, 2003",22,"1","UCLA","#41 Pick in 2024 Draft","https://www.nba.com/summer-league/2025/las-vegas/team/1610612755/76ers"
"Judah Mintz",33,"G","6-3","172 lbs","JUL 10, 2003",22,"R","Delaware Blue Coats","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612755/76ers"
"Jack Clark",35,"F","6-10","215 lbs","FEB 14, 2000",25,"R","VCU","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612755/76ers"
"Caleb Stone-Carrawell",36,"F","6-7","220 lbs","NOV 25, 2000",24,"R","Loyola Marymount","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612755/76ers"
"Saint Thomas",38,"F","6-7","220 lbs","MAY 01, 2003",22,"R","USC","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612755/76ers"
"Hunter Sallis",45,"F","6-5","185 lbs","MAR 26, 2003",22,"R","Wake Forest","Signed on 07/01/25","https://www.nba.com/summer-league/2025/las-vegas/team/1610612755/76ers"
"Andrew Funk",50,"G","6-5","200 lbs","SEP 21, 1999",25,"1","Grand Rapids Gold","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612755/76ers"
"Landers Nolley II",51,"G-F","6-7","207 lbs","MAR 05, 2000",25,"R","Hsinchu Toplus (Taiwan)","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612755/76ers"
"Mark Armstrong",52,"G","6-2","180 lbs","FEB 21, 2004",21,"R","Long Island Nets","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612755/76ers"
"Alex Reese",65,"F","6-9","249 lbs","MAY 21, 1999",26,"1","Alabama","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612755/76ers"
"VJ Edgecombe",77,"G","6-4","193 lbs","JUL 30, 2005",19,"R","Baylor","#3 Pick in 2025 Draft","https://www.nba.com/summer-league/2025/las-vegas/team/1610612755/76ers"
"Ryan Dunn",0,"F","6-8","220 lbs","JAN 07, 2003",22,"1","Virginia","Draft Rights Traded from DEN on 06/26/24","https://www.nba.com/summer-league/2025/las-vegas/team/1610612756/suns"
"Oso Ighodaro",4,"F","6-11","227 lbs","JUL 14, 2002",22,"1","Marquette","Draft Rights Traded from NYK on 06/27/24","https://www.nba.com/summer-league/2025/las-vegas/team/1610612756/suns"
"Khaman Maluach",10,"C","7-1","253 lbs","SEP 14, 2006",18,"R","Duke","Draft Rights Traded from HOU on 07/06/25","https://www.nba.com/summer-league/2025/las-vegas/team/1610612756/suns"
"Koby Brea",14,"G","6-6","202 lbs","NOV 06, 2002",22,"R","Kentucky","Draft Rights Traded from GSW on 07/06/25","https://www.nba.com/summer-league/2025/las-vegas/team/1610612756/suns"
"Rasheer Fleming",20,"F","6-8","232 lbs","JUL 10, 2004",21,"R","St. Joseph's (PA)","Draft Rights Traded from MIN on 07/06/25","https://www.nba.com/summer-league/2025/las-vegas/team/1610612756/suns"
"CJ Huntley",22,"F","6-11","221 lbs","JAN 06, 2002",23,"R","Appalachian State","Signed on 07/03/25","https://www.nba.com/summer-league/2025/las-vegas/team/1610612756/suns"
"Yuri Collins",50,"G","6-0","190 lbs","MAR 07, 2001",24,"1","Saint Louis","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612756/suns"
"Boogie Ellis",51,"G","6-2","190 lbs","DEC 12, 2000",24,"R","USC","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612756/suns"
"Alex Schumacher",52,"G","6-3","185 lbs","FEB 20, 2001",24,"R","Seattle","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612756/suns"
"Khalif Battle",53,"G","6-5","185 lbs","JUN 24, 2000",25,"R","Gonzaga","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612756/suns"
"Jordan Gainey",54,"G","6-4","190 lbs","JUN 26, 2002",23,"R","Tennessee","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612756/suns"
"Mitch Mascari",55,"G","6-5","200 lbs","AUG 21, 2000",24,"R","Drake","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612756/suns"
"Moses Wood",56,"F","6-8","210 lbs","MAY 03, 1999",26,"R","Washington","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612756/suns"
"Brandon Angel",57,"F","6-9","225 lbs","OCT 27, 2001",23,"R","Oregon","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612756/suns"
"Solomon Young",58,"F","6-8","245 lbs","APR 22, 1998",27,"R","Iowa State","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612756/suns"
"Caleb Love",2,"G","6-2","203 lbs","SEP 27, 2001",23,"R","Arizona","Signed on 07/01/25","https://www.nba.com/summer-league/2025/las-vegas/team/1610612757/blazers"
"Hansen Yang",16,"C","7-1","260 lbs","JUN 26, 2005",20,"R","Qingdao Eagles","Draft Rights Traded from MEM on 06/25/25","https://www.nba.com/summer-league/2025/las-vegas/team/1610612757/blazers"
"Rayan Rupert",21,"G-F","6-7","202 lbs","MAY 31, 2004",21,"2","New Zealand Breakers","#43 Pick in 2023 Draft","https://www.nba.com/summer-league/2025/las-vegas/team/1610612757/blazers"
"Dmytro Skapintsev",41,"C","7-1","260 lbs","MAY 12, 1998",27,"1","Cal State Northridge","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612757/blazers"
"James Bouknight",42,"G","6-5","190 lbs","SEP 18, 2000",24,"3","UConn","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612757/blazers"
"Keeshawn Barthelemy",50,"G","6-1","180 lbs","JAN 02, 2001",24,"R","Oregon","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612757/blazers"
"Cameron Tyson",52,"G","6-2","190 lbs","OCT 26, 1999",25,"R","Seattle","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612757/blazers"
"Sean Pedulla",53,"G","6-2","190 lbs","OCT 10, 2002",22,"R","Ole Miss","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612757/blazers"
"DJ Carton",54,"G","6-4","200 lbs","AUG 05, 2000",24,"2","Marquette","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612757/blazers"
"Justin McKoy",61,"F","6-8","215 lbs","JAN 07, 2001",24,"R","Hawaii","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612757/blazers"
"Andrew Carr",64,"F","6-11","235 lbs","FEB 01, 2002",23,"R","Kentucky","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612757/blazers"
"Olivier Nkamhoua",68,"F","6-9","225 lbs","MAY 02, 2000",25,"R","Michigan","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612757/blazers"
"Sidy Cissoko",91,"G-F","6-6","220 lbs","APR 02, 2004",21,"2","NBA G League Ignite","Signed on 02/08/25","https://www.nba.com/summer-league/2025/las-vegas/team/1610612757/blazers"
"Isaac Jones",3,"F","6-9","245 lbs","JUL 11, 2000",24,"1","Washington State","Signed on 07/03/24","https://www.nba.com/summer-league/2025/las-vegas/team/1610612758/kings"
"Nique Clifford",5,"F","6-6","200 lbs","FEB 09, 2002",23,"R","Colorado State","Draft Rights Traded from OKC on 06/25/25","https://www.nba.com/summer-league/2025/las-vegas/team/1610612758/kings"
"Mason Jones",15,"G","6-4","200 lbs","JUL 21, 1998",26,"4","Arkansas","Signed on 02/09/24","https://www.nba.com/summer-league/2025/las-vegas/team/1610612758/kings"
"Patrick McCaffery",18,"F","6-9","210 lbs","MAR 20, 2000",25,"R","Iowa","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612758/kings"
"Devin Carter",22,"G","6-2","195 lbs","MAR 18, 2002",23,"1","Providence","#13 Pick in 2024 Draft","https://www.nba.com/summer-league/2025/las-vegas/team/1610612758/kings"
"Isaiah Crawford",24,"F","6-6","220 lbs","NOV 01, 2001",23,"1","Louisiana Tech","Signed on 07/02/24","https://www.nba.com/summer-league/2025/las-vegas/team/1610612758/kings"
"Taevion Kinsey",25,"G","6-5","190 lbs","MAR 10, 2000",25,"1","Marshall","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612758/kings"
"Isaac Nogues",28,"G","6-5","189 lbs","FEB 10, 2004",21,"1","Cornell","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612758/kings"
"Jabri Abdur-Rahim",30,"F","6-8","215 lbs","MAR 22, 2002",23,"R","Providence","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612758/kings"
"Dylan Cardwell",32,"C","6-11","255 lbs","DEC 16, 2001",23,"R","Auburn","Signed on 07/02/25","https://www.nba.com/summer-league/2025/las-vegas/team/1610612758/kings"
"Jon Elmore",33,"G","6-3","190 lbs","DEC 20, 1995",29,"R","Marshall","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612758/kings"
"Daniel Batcho",34,"C","6-11","245 lbs","JAN 10, 2002",23,"R","Louisiana Tech","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612758/kings"
"Isaiah Stevens",40,"G","6-0","185 lbs","NOV 01, 2000",24,"1","Colorado State","Signed on 07/08/25","https://www.nba.com/summer-league/2025/las-vegas/team/1610612758/kings"
"Maxime Raynaud",42,"C","7-1","250 lbs","APR 07, 2003",22,"R","Stanford","#42 Pick in 2025 Draft","https://www.nba.com/summer-league/2025/las-vegas/team/1610612758/kings"
"Kino Lilly Jr.",NA,"","","lbs","JAN 01, 1995",30,"R","","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612759/spurs"
"Dylan Harper",2,"G","6-5","215 lbs","MAR 02, 2006",19,"R","Rutgers","#2 Pick in 2025 Draft","https://www.nba.com/summer-league/2025/las-vegas/team/1610612759/spurs"
"Carter Bryant",11,"F","6-7","220 lbs","NOV 26, 2005",19,"R","Arizona","#14 Pick in 2025 Draft","https://www.nba.com/summer-league/2025/las-vegas/team/1610612759/spurs"
"Ibrahima Diallo",15,"F","7-1","245 lbs","DEC 10, 1999",25,"1","Austin Spurs","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612759/spurs"
"Kyle Mangas",16,"G","6-4","200 lbs","APR 08, 1999",26,"1","Austin Spurs","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612759/spurs"
"Jameer Nelson Jr.",17,"G","6-1","205 lbs","AUG 07, 2001",23,"1","Austin Spurs","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612759/spurs"
"Dexter Dennis",19,"G","6-5","205 lbs","FEB 09, 1999",26,"2","Texas A&M","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612759/spurs"
"Chibuzo Agbo",23,"G","6-6","220 lbs","NOV 28, 2001",23,"R","Southern California","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612759/spurs"
"David Jones-Garcia",25,"F","6-5","210 lbs","NOV 24, 2001",23,"1","Mexico City Capitanes","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612759/spurs"
"Osayi Osifo",26,"F","6-9","230 lbs","APR 06, 2000",25,"1","Austin Spurs","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612759/spurs"
"Riley Minix",27,"F","6-7","230 lbs","SEP 22, 2000",24,"1","Morehead State","Signed on 07/20/24","https://www.nba.com/summer-league/2025/las-vegas/team/1610612759/spurs"
"Omari Moore",29,"G","6-6","185 lbs","SEP 18, 2000",24,"2","S.E. Melbourne Phoenix (AUS)","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612759/spurs"
"Nathan Mensah",31,"C","6-9","220 lbs","APR 09, 1998",27,"2","San Diego State","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612759/spurs"
"Cam Carter",33,"G","6-3","190 lbs","MAR 17, 2003",22,"R","LSU","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612759/spurs"
"Mouhamet Diouf",35,"F","6-11","235 lbs","SEP 10, 2001",23,"R","Virtus Bologna (Italy)","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612759/spurs"
"Josh Uduje",36,"G","6-5","190 lbs","APR 27, 2002",23,"R","San Jose State","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612759/spurs"
"Jacksen Moni",37,"F","6-8","230 lbs","FEB 20, 2003",22,"R","North Dakota State","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612759/spurs"
"Noah Farrakhan",38,"G","6-1","170 lbs","DEC 03, 2000",24,"R","Hampton","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612759/spurs"
"Harrison Ingram",55,"G-F","6-5","235 lbs","NOV 27, 2002",22,"1","North Carolina","#48 Pick in 2024 Draft","https://www.nba.com/summer-league/2025/las-vegas/team/1610612759/spurs"
"A.J. Lawson",0,"G","6-6","185 lbs","JUL 15, 2000",24,"3","South Carolina","Signed on 12/11/24","https://www.nba.com/summer-league/2025/las-vegas/team/1610612761/raptors"
"Jonathan Mogbo",2,"F","6-7","216 lbs","OCT 29, 2001",23,"1","San Francisco","#31 Pick in 2024 Draft","https://www.nba.com/summer-league/2025/las-vegas/team/1610612761/raptors"
"Colin Castleton",11,"C","6-11","250 lbs","MAY 25, 2000",25,"2","Florida","Signed on 04/13/25","https://www.nba.com/summer-league/2025/las-vegas/team/1610612761/raptors"
"Collin Murray-Boyles",12,"F","6-7","239 lbs","JUN 10, 2005",20,"R","South Carolina","#9 Pick in 2025 Draft","https://www.nba.com/summer-league/2025/las-vegas/team/1610612761/raptors"
"Quincy Guerrier",13,"F","6-7","220 lbs","MAY 13, 1999",26,"R","Illinois","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612761/raptors"
"Ja'Kobe Walter",14,"G","6-4","204 lbs","SEP 04, 2004",20,"1","Baylor","#19 Pick in 2024 Draft","https://www.nba.com/summer-league/2025/las-vegas/team/1610612761/raptors"
"Jarkel Joiner",18,"G","6-1","181 lbs","MAY 21, 1999",26,"R","North Carolina State","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612761/raptors"
"Tyson Degenhart",20,"F","6-8","235 lbs","OCT 13, 2002",22,"R","Boise State","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612761/raptors"
"Clifford Omoruyi",21,"C","6-11","250 lbs","OCT 11, 2001",23,"R","Alabama","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612761/raptors"
"Ulrich Chomche",22,"C","6-11","231 lbs","DEC 30, 2005",19,"1","NBA Global Academy","Draft Rights Traded from MEM on 07/06/24","https://www.nba.com/summer-league/2025/las-vegas/team/1610612761/raptors"
"Jamal Shead",23,"G","6-0","198 lbs","JUL 24, 2002",22,"1","Houston","Draft Rights Traded from SAC on 06/28/24","https://www.nba.com/summer-league/2025/las-vegas/team/1610612761/raptors"
"Chucky Hepburn",24,"G","6-2","190 lbs","FEB 09, 2003",22,"R","Louisville","Signed on 07/01/25","https://www.nba.com/summer-league/2025/las-vegas/team/1610612761/raptors"
"Aniwaniwa Tait-Jones",32,"G-F","6-6","200 lbs","JAN 05, 2001",24,"R","UC San Diego","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612761/raptors"
"Tyreke Key",44,"G","6-2","207 lbs","OCT 29, 1998",26,"R","Tennessee","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612761/raptors"
"Alijah Martin",55,"G","6-2","208 lbs","DEC 26, 2001",23,"R","Florida","#39 Pick in 2025 Draft","https://www.nba.com/summer-league/2025/las-vegas/team/1610612761/raptors"
"Jamison Battle",77,"F","6-6","228 lbs","MAY 10, 2001",24,"1","Ohio State","Signed on 07/16/24","https://www.nba.com/summer-league/2025/las-vegas/team/1610612761/raptors"
"Cody Williams",5,"F","6-8","190 lbs","NOV 20, 2004",20,"1","Colorado","#10 Pick in 2024 Draft","https://www.nba.com/summer-league/2025/las-vegas/team/1610612762/jazz"
"Isaiah Collier",8,"G","6-5","210 lbs","OCT 08, 2004",20,"1","Southern California","#29 Pick in 2024 Draft","https://www.nba.com/summer-league/2025/las-vegas/team/1610612762/jazz"
"Jaden Springer",11,"G","6-4","202 lbs","SEP 25, 2002",22,"4","Tennessee","Signed on 02/20/25","https://www.nba.com/summer-league/2025/las-vegas/team/1610612762/jazz"
"Walter Clayton Jr.",13,"G","6-3","195 lbs","MAR 06, 2003",22,"R","Florida","Draft Rights Traded from WAS on 06/25/25","https://www.nba.com/summer-league/2025/las-vegas/team/1610612762/jazz"
"Elijah Harkless",16,"G-F","6-3","195 lbs","FEB 03, 2000",25,"1","UNLV","Signed on 01/01/25","https://www.nba.com/summer-league/2025/las-vegas/team/1610612762/jazz"
"John Tonje",17,"F","6-5","218 lbs","APR 23, 2001",24,"R","Wisconsin","#53 Pick in 2025 Draft","https://www.nba.com/summer-league/2025/las-vegas/team/1610612762/jazz"
"Ace Bailey",19,"F","6-8","210 lbs","AUG 13, 2006",18,"R","Rutgers","#5 Pick in 2025 Draft","https://www.nba.com/summer-league/2025/las-vegas/team/1610612762/jazz"
"RJ Luis Jr.",21,"G-F","6-7","215 lbs","NOV 27, 2002",22,"R","St. John's","Signed on 07/07/25","https://www.nba.com/summer-league/2025/las-vegas/team/1610612762/jazz"
"Kyle Filipowski",22,"F","6-11","250 lbs","NOV 07, 2003",21,"1","Duke","#32 Pick in 2024 Draft","https://www.nba.com/summer-league/2025/las-vegas/team/1610612762/jazz"
"Max Abmas",30,"G","5-11","172 lbs","APR 02, 2001",24,"R","Texas","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612762/jazz"
"J'Wan Roberts",34,"F","6-7","235 lbs","SEP 19, 2001",23,"R","Houston","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612762/jazz"
"Dane Goodwin",36,"G-F","6-6","214 lbs","DEC 28, 1999",25,"R","Notre Dame","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612762/jazz"
"Selton Miguel",39,"G-F","6-4","217 lbs","OCT 24, 2000",24,"R","Maryland","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612762/jazz"
"Jaylan Gainey",49,"F","6-10","220 lbs","DEC 12, 1999",25,"R","Florida State","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612762/jazz"
"Cameron McGriff",60,"F","6-7","220 lbs","SEP 30, 1997",27,"R","Oklahoma State","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612762/jazz"
"Steve Crowl",61,"F","7-0","247 lbs","JUL 01, 2004",21,"R","Wisconsin","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612762/jazz"
"AJ Johnson",5,"G","6-5","174 lbs","DEC 01, 2004",20,"1","Illawarra","Traded from MIL on 02/06/25","https://www.nba.com/summer-league/2025/las-vegas/team/1610612764/wizards"
"Bub Carrington",7,"G","6-4","195 lbs","JUL 21, 2005",19,"1","Pittsburgh","Draft Rights Traded from POR on 07/06/24","https://www.nba.com/summer-league/2025/las-vegas/team/1610612764/wizards"
"Tre Johnson",12,"G","6-5","190 lbs","MAR 07, 2006",19,"R","Texas","#6 Pick in 2025 Draft","https://www.nba.com/summer-league/2025/las-vegas/team/1610612764/wizards"
"Leaky Black",17,"F","6-6","209 lbs","JUN 14, 1999",26,"1","Capital City Go-Go","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612764/wizards"
"Kyshawn George",18,"F","6-7","209 lbs","DEC 12, 2003",21,"1","Miami","Draft Rights Traded from NYK on 06/26/24","https://www.nba.com/summer-league/2025/las-vegas/team/1610612764/wizards"
"Kadary Richmond",19,"G","6-6","205 lbs","AUG 25, 2001",23,"R","St. John's","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612764/wizards"
"Alex Sarr",20,"C","7-0","224 lbs","APR 26, 2005",20,"1","Washington Wizards","#2 Pick in 2024 Draft","https://www.nba.com/summer-league/2025/las-vegas/team/1610612764/wizards"
"Will Riley",27,"F","6-8","180 lbs","FEB 10, 2006",19,"R","Illinois-Urbana-Champaign","Draft Rights Traded from UTA on 06/25/25","https://www.nba.com/summer-league/2025/las-vegas/team/1610612764/wizards"
"Jamir Watkins",30,"F","6-7","210 lbs","JUL 06, 2001",24,"R","Florida State","#43 Pick in 2025 Draft","https://www.nba.com/summer-league/2025/las-vegas/team/1610612764/wizards"
"Liam Robbins",31,"C","7-0","250 lbs","JUL 12, 1999",25,"1","Milwaukee Bucks","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612764/wizards"
"Dillon Jones",33,"F","6-5","240 lbs","OCT 29, 2001",23,"1","Weber State","Traded from OKC on 06/28/25","https://www.nba.com/summer-league/2025/las-vegas/team/1610612764/wizards"
"Zeke Mayo",35,"G","6-4","185 lbs","DEC 18, 2002",22,"R","Kansas","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612764/wizards"
"Akoldah Gak",47,"F","6-11","200 lbs","JUL 12, 2002",22,"R","Mexico City Capitanes","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612764/wizards"
"Keshon Gilbert",55,"G","6-4","200 lbs","JUN 30, 2003",22,"R","Iowa State","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612764/wizards"
"Jonathan Pierre",59,"F","6-9","210 lbs","APR 20, 2003",22,"R","Belmont","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612764/wizards"
